12DICHLORETHDEG-PWY	1,2-dichloroethane degradation
PWY-6593	sulfoacetate degradation
PWY-6594	superpathway of Clostridium acetobutylicum solventogenic fermentation
PWY-6595	superpathway of guanosine nucleotides degradation (plants)
PWY-6596	adenosine nucleotides degradation I
PWY-6598	sciadonate biosynthesis
PWY-6599	guanine and guanosine salvage II
PWY-6602	C-glycosylflavone biosynthesis I
PWY-6603	dicranin biosynthesis
PWY-6604	superpathway of Clostridium acetobutylicum acidogenic and solventogenic fermentation
PWY-6605	adenine and adenosine salvage II
PWY-6606	guanosine nucleotides degradation II
PWY-6607	guanosine nucleotides degradation I
PWY-6608	guanosine nucleotides degradation III
PWY-6609	adenine and adenosine salvage III
PWY-6610	adenine and adenosine salvage IV
PWY-6611	adenine and adenosine salvage V
PWY-6612	superpathway of tetrahydrofolate biosynthesis
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate
PWY-6614	tetrahydrofolate biosynthesis
PWY66-161	oxidative ethanol degradation III
PWY66-162	ethanol degradation IV
PWY-6616	sulfolactate degradation I
PWY-6617	adenosine nucleotides degradation III
PWY-6618	guanine and guanosine salvage III
PWY-6619	adenine and adenosine salvage VI
PWY66-201	nicotine degradation IV
PWY-6620	guanine and guanosine salvage
PWY66-21	ethanol degradation II
PWY-6621	salicylate glucosides biosynthesis I
PWY66-221	nicotine degradation V
PWY-6622	heptadecane biosynthesis
PWY-6623	salicylate glucosides biosynthesis II
PWY66-241	bupropion degradation
PWY-6624	salicylate glucosides biosynthesis III
PWY-6626	CDP-2-glycerol biosynthesis
PWY-6627	salinosporamide A biosynthesis
PWY-6628	superpathway of L-phenylalanine biosynthesis
PWY-6629	superpathway of L-tryptophan biosynthesis
PWY66-301	catecholamine biosynthesis
PWY-6630	superpathway of L-tyrosine biosynthesis
PWY-6631	O -methylation of tricetin
PWY-6632	caffeine degradation IV (bacteria, via demethylation and oxidation)
PWY-6633	caffeine degradation V (bacteria, via trimethylurate)
PWY66-341	cholesterol biosynthesis I
PWY-6634	2,3-dihydroxypropane-1-sulfonate degradation
PWY66-366	flavin biosynthesis IV (mammalian)
PWY66-367	ketogenesis
PWY66-368	ketolysis
PWY-6636	salicylate degradation III
PWY66-373	sucrose degradation V (sucrose &alpha;-glucosidase)
PWY66-374	C20 prostanoid biosynthesis
PWY66-375	leukotriene biosynthesis
PWY66-377	pregnenolone biosynthesis
PWY66-378	androgen biosynthesis
PWY-6637	sulfolactate degradation II
PWY66-380	estradiol biosynthesis I (via estrone)
PWY66-381	glucocorticoid biosynthesis
PWY66-382	mineralocorticoid biosynthesis
PWY66-387	fatty acid &alpha;-oxidation II
PWY66-388	fatty acid &alpha;-oxidation III
PWY66-389	phytol degradation
PWY-6638	sulfolactate degradation III
PWY66-391	fatty acid &beta;-oxidation VI (peroxisome)
PWY66-392	lipoxin biosynthesis
PWY66-393	aspirin-triggered lipoxin biosynthesis
PWY66-394	aspirin triggered resolvin E biosynthesis
PWY66-395	aspirin triggered resolvin D biosynthesis
PWY66-397	resolvin D biosynthesis
PWY66-398	TCA cycle III (animals)
PWY66-399	gluconeogenesis III
PWY66-3	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)
PWY66-409	superpathway of purine nucleotide salvage
PWY-6640	salicylate degradation IV
PWY-6641	superpathway of sulfolactate degradation
PWY66-420	carnosine biosynthesis
PWY66-421	homocarnosine biosynthesis
PWY66-422	D-galactose degradation V (Leloir pathway)
PWY66-423	fructose 2,6-bisphosphate biosynthesis
PWY66-425	L-lysine degradation II (L-pipecolate pathway)
PWY66-426	hydrogen sulfide biosynthesis II (mammalian)
PWY66-428	L-threonine degradation V
PWY-6642	(R)-cysteate degradation
PWY-6643	coenzyme M biosynthesis II
PWY-6644	fluoroacetate and fluorothreonine biosynthesis
PWY-6645	labdane-type diterpenes biosynthesis
PWY-6646	fluoroacetate degradation
PWY-6648	rhamnolipid biosynthesis
PWY-6649	glycolate and glyoxylate degradation III
PWY66-4	cholesterol biosynthesis III (via desmosterol)
PWY-6650	juvenile hormone III biosynthesis II
PWY-6653	ent -kaurene biosynthesis II
PWY-6654	phosphopantothenate biosynthesis III
PWY-6655	xanthan biosynthesis
PWY-6657	polyhydroxydecanoate biosynthesis
PWY-6658	acetan biosynthesis
PWY-6659	fusicoccin A biosynthesis
PWY66-5	superpathway of cholesterol biosynthesis
PWY-6660	2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis
PWY-6661	4-hydroxy-2(1H)-quinolone biosynthesis
PWY-6662	superpathway of quinolone and alkylquinolone biosynthesis
PWY-6664	di-myo-inositol phosphate biosynthesis
PWY-6665	pterostilbene biosynthesis
PWY6666-1	anandamide degradation
PWY6666-2	dopamine degradation
PWY-6666	pyocyanin biosynthesis
PWY-6667	resveratrol degradation
PWY-6668	(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis
PWY-6669	&delta;-guaiene biosynthesis
PWY-6670	citronellol degradation
PWY-6672	cis-genanyl-CoA degradation
PWY-6673	caffeoylglucarate biosynthesis
PWY-6675	sulfur oxidation IV (intracellular sulfur)
PWY-6676	superpathway of sulfide oxidation (phototrophic sulfur bacteria)
PWY-6677	thiosulfate oxidation IV (multienzyme complex)
PWY-6678	geraniol and nerol degradation
PWY-6679	jadomycin biosynthesis
PWY-6681	neurosporaxanthin biosynthesis
PWY-6682	dehydrophos biosynthesis
PWY-6683	sulfate reduction III (assimilatory)
PWY-6684	glucosinolate breakdown (via thiocyanate-forming protein)
PWY-6685	glucosylglycerate biosynthesis II
PWY-6686	mannosylglucosylglycerate biosynthesis I
PWY-6687	mannosylglucosylglycerate biosynthesis II
PWY-6688	thyronamine and iodothyronamine metabolism
PWY-6689	tRNA splicing
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate
PWY-6691	plaunotol biosynthesis
PWY-6692	Fe(II) oxidation
PWY-6693	galactose degradation IV
PWY-6694	oxalate degradation I
PWY-6695	oxalate degradation II
PWY-6696	oxalate degradation III
PWY-6697	oxalate degradation IV
PWY-6698	oxalate degradation V
PWY-6699	oxalate biosynthesis
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)
PWY-6700	queuosine biosynthesis
PWY-6703	preQ0 biosynthesis
PWY-6704	L-ascorbate degradation IV
PWY-6707	gallate biosynthesis
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)
PWY-6710	poly-hydroxy fatty acids biosynthesis
PWY-6711	archaeosine biosynthesis
PWY-6713	L-rhamnose degradation II
PWY-6714	L-rhamnose degradation III
PWY-6717	(1,4)-&beta;-xylan degradation
PWY-6718	sulfoacetaldehyde degradation III
PWY-6720	toyocamycin biosynthesis
PWY-6721	sangivamycin biosynthesis
PWY-6722	candicidin biosynthesis
PWY-6724	starch degradation II
PWY-6728	methylaspartate cycle
PWY-6730	methylhalides biosynthesis (plants)
PWY-6731	starch degradation III
PWY-6733	sporopollenin precursors biosynthesis
PWY-6735	starch degradation IV
PWY-6736	sulfur volatiles biosynthesis
PWY-6737	starch degradation V
PWY-6738	pinitol biosynthesis I
PWY-6739	pinitol biosynthesis II
PWY-6742	methane oxidation to methanol II
PWY-6744	hydrogen production I
PWY-6745	phytochelatins biosynthesis
PWY-6748	nitrate reduction VII (denitrification)
PWY-6749	CMP-legionaminate biosynthesis I
PWY-6751	superpathway of hydrogen production
PWY-6752	o-diquinones biosynthesis
PWY-6753	S-methyl-5'-thioadenosine degradation III
PWY-6754	S-methyl-5'-thioadenosine degradation I
PWY-6756	S-methyl-5'-thioadenosine degradation II
PWY-6758	hydrogen production II
PWY-6759	hydrogen production III
PWY-6760	xylose degradation III
PWY-6762	salicylate glucosides biosynthesis IV
PWY-6763	salicortin biosynthesis
PWY-6765	hydrogen production IV
PWY-6766	salicin biosynthesis
PWY-6767	4,4'-diapolycopenedioate biosynthesis
PWY-6769	rhamnogalacturonan type I degradation I (fungi)
PWY-6771	rhamnogalacturonan type I degradation II (bacteria)
PWY-6772	hydrogen production V
PWY-6773	callose biosynthesis
PWY-6778	laminaribiose degradation
PWY-6780	hydrogen production VI
PWY-6781	chlorogenic acid degradation
PWY-6784	cellulose and hemicellulose degradation (cellulolosome)
PWY-6785	hydrogen production VIII
PWY-6786	detoxification of reactive carbonyls in chloroplasts
PWY-6787	flavonoid biosynthesis (in equisetum)
PWY-6788	cellulose degradation II (fungi)
PWY-6789	(1,3)-&beta;-D-xylan degradation
PWY-6790	L-arabinan degradation
PWY-6791	xyloglucan degradation I (endoglucanase)
PWY-6792	scopoletin biosynthesis
PWY-6794	adenosine 5'-phosphoramidate biosynthesis
PWY-6795	diacylglyceryl-N,N,N-trimethylhomoserine biosynthesis
PWY-6797	6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (archaea)
PWY-6799	fatty acid biosynthesis (plant mitochondria)
PWY-6801	volatile esters biosynthesis (during fruit ripening)
PWY-6802	salidroside biosynthesis
PWY-6803	phosphatidylcholine acyl editing
PWY-6804	diacylglycerol biosynthesis (PUFA enrichment in oilseed)
PWY-6805	cellulose degradation I (cellulosome)
PWY-6806	carotenoid cleavage
PWY-6807	xyloglucan degradation II (exoglucanase)
PWY-6808	dTDP-D-forosamine biosynthesis
PWY-6809	neoxanthin biosynthesis
PWY-6812	xyloglucan degradation III (cellobiohydrolase)
PWY-6813	glucuronoarabinoxylan degradation
PWY-6815	porphyran degradation
PWY-6816	agarose degradation
PWY-6817	&lambda;-carrageenan degradation
PWY-6818	ornithine lipid biosynthesis
PWY-681	dibenzothiophene desulfurization
PWY-6820	diphyllin biosynthesis
PWY-6821	&kappa;-carrageenan degradation
PWY-6822	&iota;-carrageenan degradation
PWY-6823	molybdenum cofactor biosynthesis
PWY-6824	justicidin B biosynthesis
PWY-6825	phosphatidylcholine biosynthesis V
PWY-6826	phosphatidylcholine biosynthesis VI
PWY-6827	gellan degradation
PWY-6828	linezolid resistance
PWY-6829	tRNA methylation (yeast)
PWY-6830	superpathway of methanogenesis
PWY-6831	pyrrolnitrin biosynthesis
PWY-6832	2-aminoethylphosphonate degradation II
PWY-6834	spermidine biosynthesis III
PWY-6835	6-gingerol biosynthesis
PWY-6836	santalene biosynthesis II
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)
PWY-6839	2-aminoethylphosphonate biosynthesis
PWY-6840	homoglutathione biosynthesis
PWY-6841	homophytochelatin biosynthesis
PWY-6842	glutathione-mediated detoxification II
PWY-6845	nitric oxide biosynthesis (plants)
PWY-6848	rutin degradation
PWY-6852	senecionine N-oxide biosynthesis
PWY-6853	ethylene biosynthesis II (microbes)
PWY-6854	ethylene biosynthesis III (microbes)
PWY-6855	chitin degradation I (archaea)
PWY-6857	retinol biosynthesis
PWY-6859	all-trans-farnesol biosynthesis
PWY-6861	the visual cycle I (vertebrates)
PWY-6863	pyruvate fermentation to hexanol
PWY-6871	3-methylbutanol biosynthesis
PWY-6872	retinoate biosynthesis I
PWY-6873	long chain fatty acid ester synthesis for microdiesel production
PWY-6875	retinoate biosynthesis II
PWY-6876	isopropanol biosynthesis
PWY-6883	pyruvate fermentation to butanol II
PWY-6886	1-butanol autotrophic biosynthesis
PWY-6887	kauralexin biosynthesis
PWY-6888	zealexin biosynthesis
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis
PWY-6891	thiazole biosynthesis II (Bacillus)
PWY-6892	thiazole biosynthesis I (E. coli)
PWY-6893	thiamin diphosphate biosynthesis II (Bacillus)
PWY-6894	thiamin diphosphate biosynthesis I (E. coli)
PWY-6895	superpathway of thiamin diphosphate biosynthesis II
PWY-6896	thiamin salvage I
PWY-6897	thiamin salvage II
PWY-6898	thiamin salvage III
PWY-6899	base-degraded thiamin salvage
PWY-6900	(Z)-butanethial-S-oxide biosynthesis
PWY-6901	superpathway of glucose and xylose degradation
PWY-6902	chitin degradation II
PWY-6906	chitin derivatives degradation
PWY-6907	thiamin diphosphate biosynthesis III (Staphylococcus)
PWY-6908	thiamin diphosphate biosynthesis IV (eukaryotes)
PWY-6909	thiazole biosynthesis III (eukaryotes)
PWY-6910	hydroxymethylpyrimidine salvage
PWY-6913	methylbutenol biosynthesis
PWY-6914	sophoraflavanone G biosynthesis
PWY-6915	pentalenolactone biosynthesis
PWY-6917	vernolate biosynthesis III
PWY-6919	neopentalenoketolactone and pentalenate biosynthesis
PWY-6922	L-N&delta;-acetylornithine biosynthesis
PWY-6923	ricinine degradation
PWY-6926	pyrethrin I biosynthesis
PWY-6927	chlorophyll a degradation II
PWY-6928	superpathway of cholesterol degradation I (cholesterol oxidase)
PWY-6930	phenolic malonylglucosides biosynthesis
PWY-6931	seleno-amino acid detoxification and volatilization I
PWY-6932	selenate reduction
PWY-6933	seleno-amino acid detoxification and volatilization III
PWY-6935	seleno-amino acid detoxification and volatilization II
PWY-6936	seleno-amino acid biosynthesis
PWY-6937	superpathway of testosterone and androsterone degradation
PWY-6938	NADH repair
PWY-6940	icosapentaenoate biosynthesis III (fungi)
PWY-6941	styrene degradation
PWY-6942	dTDP-D-desosamine biosynthesis
PWY-6943	testosterone and androsterone degradation to androstendione
PWY-6944	androstenedione degradation
PWY-6945	cholesterol degradation to androstenedione I (cholesterol oxidase)
PWY-6946	cholesterol degradation to androstenedione II (cholesterol dehydrogenase)
PWY-6947	superpathway of cholesterol degradation II (cholesterol dehydrogenase)
PWY-6948	sitosterol degradation to androstenedione
PWY-6949	DIBOA-glucoside biosynthesis
PWY-6950	DIMBOA-glucoside biosynthesis
PWY-6952	glycerophosphodiester degradation
PWY-6953	dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis
PWY-6954	superpathway of aromatic compound degradation via 2-oxopent-4-enoate
PWY-6955	lincomycin biosynthesis
PWY-6956	naphthalene degradation to acetyl-CoA
PWY-6957	mandelate degradation to acetyl-CoA
PWY-6958	icosapentaenoate biosynthesis I (lower eukaryotes)
PWY-6959	L-ascorbate degradation V
PWY-695	abscisic acid biosynthesis
PWY-6960	L-ascorbate degradation III
PWY-6961	L-ascorbate degradation II (bacterial, aerobic)
PWY-6962	superpathway of trimethylamine degradation
PWY-6963	ammonia assimilation cycle I
PWY-6964	ammonia assimilation cycle II
PWY-6965	methylamine degradation II
PWY-6966	methanol oxidation to formaldehyde I
PWY-6967	methylamine degradation I
PWY-6968	trimethylamine degradation
PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)
PWY-6970	acetyl-CoA biosynthesis II (NADP-dependent pyruvate dehydrogenase)
PWY-6971	oleandomycin biosynthesis
PWY-6972	oleandomycin activation/inactivation
PWY-6973	dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis
PWY-6974	dTDP-L-olivose biosynthesis
PWY-6975	superpathway of erythromycin biosynthesis (without sugar biosynthesis)
PWY-6976	dTDP-L-mycarose biosynthesis
PWY-6977	superpathway of erythromycin biosynthesis
PWY-6978	plastoquinol-9 biosynthesis II
PWY-6981	chitin biosynthesis
PWY-6982	umbelliferone biosynthesis
PWY-6983	tetrahydrobiopterin biosynthesis III
PWY-6984	lipoate salvage II
PWY-6986	alginate degradation
PWY-6987	lipoate biosynthesis and incorporation III (Bacillus)
PWY-6989	(-)-camphor degradation
PWY-6990	(+)-camphor biosynthesis
PWY-6991	(-)-camphor biosynthesis
PWY-6992	1,5-anhydrofructose degradation
PWY-6993	nicotine degradation II (pyrrolidine pathway)
PWY-6994	L-pyrrolysine biosynthesis
PWY-6995	5-hydroxymethylfurfural degradation
PWY-6996	daidzin and daidzein degradation
PWY-6997	furfural degradation
PWY-6998	CDP-D-arabitol biosynthesis
PWY-6999	theophylline degradation
PWY-699	brassinosteroid biosynthesis I
PWY-6	GDP-L-fucose biosynthesis II (from L-fucose)
PWY-7000	kanamycin biosynthesis
PWY-7002	4-hydroxyacetophenone degradation
PWY-7003	glycerol degradation to butanol
PWY-7006	4-amino-3-hydroxybenzoate degradation
PWY-7007	methyl ketone biosynthesis
PWY-7008	2-hydroxybiphenyl degradation
PWY-7009	2,2'-dihydroxybiphenyl degradation
PWY-7010	2-propylphenol degradation
PWY-7011	2-isopropylphenol degradation
PWY-7013	L-1,2-propanediol degradation
PWY-7014	paromamine biosynthesis I
PWY-7015	ribostamycin biosynthesis
PWY-7016	neomycin biosynthesis
PWY-7018	paromomycin biosynthesis
PWY-7019	butirosin biosynthesis
PWY-701	L-methionine degradation II
PWY-7020	superpathway of butirocin biosynthesis
PWY-7021	superpathway of neomycin biosynthesis
PWY-7022	paromamine biosynthesis II
PWY-7024	superpathway of the 3-hydroxypropanoate cycle
PWY-7025	gentamicin biosynthesis
PWY-7026	terminal olefins biosynthesis I
PWY-7027	hentriaconta-3,6,9,12,15,19,22,25,28-nonaene biosynthesis
PWY-7028	UDP-N,N'-diacetylbacillosamine biosynthesis
PWY-7029	terminal olefins biosynthesis II
PWY-702	L-methionine biosynthesis II
PWY-7031	protein N-glycosylation (bacterial)
PWY-7032	alkane biosynthesis I
PWY-7033	alkane biosynthesis II
PWY-7035	(Z)-9-tricosene biosynthesis
PWY-7036	very long chain fatty acid biosynthesis II
PWY-7037	protein O-glycosylation (bacterial)
PWY-7039	phosphatidate metabolism, as a signaling molecule
PWY-7040	violacein biosynthesis
PWY-7041	the visual cycle II (molluscs)
PWY-7042	the visual cycle (insects)
PWY-7043	11-cis-3-hydroxyretinal biosynthesis
PWY-7044	5-nitroanthranilate degradation
PWY-7045	mithramycin biosynthesis
PWY-7046	4-coumarate degradation (anaerobic)
PWY-7049	icosapentaenoate biosynthesis II (metazoa)
PWY-7050	icosapentaenoate biosynthesis IV (bacteria)
PWY-7052	cyanophycin metabolism
PWY-7053	docosahexaenoate biosynthesis I (lower eukaryotes)
PWY-7054	N-acetylglutaminylglutamine amide biosynthesis
PWY-7055	daphnetin modification
PWY-7056	daphnin interconversion
PWY-7057	cichoriin interconversion
PWY-7058	esculetin modification
PWY-7059	fumigaclavine biosynthesis
PWY-7064	3-amino-3-phenylpropanoyl-CoA biosynthesis
PWY-7065	2&alpha;,7&beta;-dihydroxylation of taxusin
PWY-7066	glycyrrhetinate biosynthesis
PWY-7067	betulinate biosynthesis
PWY-7068	ursolate biosynthesis
PWY-7069	oleanolate biosynthesis
PWY-7070	steviol biosynthesis
PWY-7071	steviol glucoside biosynthesis (rebaudioside A biosynthesis)
PWY-7072	hopanoid biosynthesis (bacteria)
PWY-7074	phenylethanol glycoconjugate biosynthesis
PWY-7075	phenylethyl acetate biosynthesis
PWY-7076	3,5-dimethoxytoluene biosynthesis
PWY-7077	N-acetyl-D-galactosamine degradation
PWY-7079	geodin biosynthesis
PWY-7080	asterrate biosynthesis
PWY-7081	4-aminophenol degradation
PWY-7082	ammonia oxidation IV (autotrophic ammonia oxidizers)
PWY-7084	nitrifier denitrification
PWY-7085	triethylamine degradation
PWY-7087	2-methylisoborneol biosynthesis
PWY-7088	taxiphyllin biosynthesis
PWY-7089	taxiphyllin bioactivation
PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis
PWY-7091	linustatin bioactivation
PWY-7092	neolinustatin bioactivation
PWY-7093	vicianin bioactivation
PWY-7094	fatty acid salvage
PWY-7095	3,4-dihydroxymandelonitrile &beta;-D-glucose biosynthesis
PWY-7096	triclosan resistance
PWY-7097	vanillin and vanillate degradation I
PWY-7098	vanillin and vanillate degradation II
PWY-7100	spinosyn A biosynthesis
PWY-7101	5-deoxystrigol biosynthesis
PWY-7102	bisabolene biosynthesis
PWY-7104	dTDP-L-megosamine biosynthesis
PWY-7105	olivetol biosynthesis (olivetol synthase by-products synthesis)
PWY-7106	erythromycin D biosynthesis
PWY-7108	erythromycin A biosynthesis
PWY-7109	megalomicin A biosynthesis
PWY-7110	superpathway of megalomicin A biosynthesis
PWY-7111	pyruvate fermentation to isobutanol (engineered)
PWY-7112	4-hydroxy-2-nonenal detoxification
PWY-7113	furcatin degradation
PWY-7114	tea aroma glycosidic precursor bioactivation
PWY-7115	C4 photosynthetic carbon assimilation cycle, NAD-ME type
PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type
PWY-7118	chitin degradation to ethanol
PWY-7119	sphingolipid recycling and degradation (yeast)
PWY-7120	esterified suberin biosynthesis
PWY-7124	ethylene biosynthesis V (engineered)
PWY-7126	ethylene biosynthesis IV
PWY-7127	CDP-D-mannitol biosynthesis
PWY-7128	nicotine degradation III (VPP pathway)
PWY-7129	quercetin glucoside biosynthesis (Allium)
PWY-7130	L-glucose degradation
PWY-7131	CMP-legionaminate biosynthesis II
PWY-7133	quercetin glucoside degradation (Allium)
PWY-7134	rutin degradation (plants)
PWY-7135	emetine biosynthesis
PWY-7136	&beta; myrcene degradation
PWY-7137	quercetin gentiotetraside biosynthesis
PWY-7138	noscapine biosynthesis
PWY-7139	sesaminol glucoside biosynthesis
PWY-7140	myricetin gentiobioside biosynthesis
PWY-7141	linalool biosynthesis II
PWY-7142	cyanide detoxification II
PWY-7143	kaempferol gentiobioside biosynthesis
PWY-7145	genistin gentiobioside biosynthesis
PWY-7147	8-amino-7-oxononanoate biosynthesis II
PWY-7149	superpathway polymethylated quercetin/quercetagetin glucoside biosynthesis (Chrysosplenium)
PWY-7150	polymethylated quercetin glucoside biosynthesis I - quercetin series (Chrysosplenium)
PWY-7151	polymethylated quercetin glucoside biosynthesis II - quercetagetin series (Chrysosplenium)
PWY-7152	pinolenate and coniferonate biosynthesis
PWY-7153	grixazone biosynthesis
PWY-7154	ergosterol biosynthesis II
PWY-7155	7-dehydroporiferasterol biosynthesis
PWY-7156	superpathway of ergosterol biosynthesis II
PWY-7157	eupatolitin 3-O-glucoside biosynthesis
PWY-7158	L-phenylalanine degradation V
PWY-7159	chlorophyllide a biosynthesis III (aerobic, light independent)
PWY-7160	polymethylated myricetin biosynthesis (tomato)
PWY-7161	polymethylated quercetin biosynthesis
PWY-7163	polymethylated kaempferol biosynthesis
PWY-7164	chlorophyll a degradation III
PWY-7165	L-ascorbate biosynthesis VI (engineered pathway)
PWY-7166	kaempferide triglycoside biosynthesis
PWY-7167	choline degradation III
PWY-7168	flavonol acylglucoside biosynthesis I - kaempferol derivatives
PWY-7169	hyperxanthone E biosynthesis
PWY-7170	phytochromobilin biosynthesis
PWY-7171	flavonol acylglucoside biosynthesis II - isorhamnetin derivatives
PWY-7172	flavonol acylglucoside biosynthesis III - quercetin derivatives
PWY-7173	quercetin triglucoside biosynthesis
PWY-7174	S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation II
PWY-7175	nostoxanthin biosynthesis
PWY-7176	UTP and CTP de novo biosynthesis
PWY-7177	UTP and CTP dephosphorylation II
PWY-7178	ethylene glycol biosynthesis
PWY-7179-1	purine deoxyribonucleosides degradation
PWY-7179	purine deoxyribonucleosides degradation I
PWY-7180	2'-deoxy-&alpha;-D-ribose 1-phosphate degradation
PWY-7181	pyrimidine deoxyribonucleosides degradation
PWY-7182	linalool biosynthesis I
PWY-7183	pyrimidine nucleobases salvage I
PWY-7184	pyrimidine deoxyribonucleotides de novo biosynthesis I
PWY-7185	UTP and CTP dephosphorylation I
PWY-7186	superpathway of scopolin and esculin biosynthesis
PWY-7187	pyrimidine deoxyribonucleotides de novo biosynthesis II
PWY-7188	C-glycosylflavone biosynthesis II
PWY-7189	C-glycosylflavone biosynthesis III
PWY-7191	kaempferol diglycoside biosynthesis (pollen-specific)
PWY-7192	quercetin diglycoside biosynthesis (pollen-specific)
PWY-7193	pyrimidine ribonucleosides salvage I
PWY-7194	pyrimidine nucleobases salvage II
PWY-7195	pyrimidine ribonucleosides salvage III
PWY-7196	superpathway of pyrimidine ribonucleosides salvage
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation
PWY-7198	pyrimidine deoxyribonucleotides de novo biosynthesis IV
PWY-7199	pyrimidine deoxyribonucleosides salvage
PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage
PWY-7204	pyridoxal 5'-phosphate salvage II (plants)
PWY-7205	CMP phosphorylation
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7208	superpathway of pyrimidine nucleobases salvage
PWY-7209	superpathway of pyrimidine ribonucleosides degradation
PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP
PWY-7211	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
PWY-7212	baicalein metabolism
PWY-721	3-methylquinoline degradation
PWY-7213	wogonin metabolism
PWY-7214	baicalein degradation (hydrogen peroxide detoxification)
PWY-7216	(R)- and (S)-3-hydroxybutanoate biosynthesis
PWY-7218	photosynthetic 3-hydroxybutanoate biosynthesis (engineered)
PWY-7219	adenosine ribonucleotides de novo biosynthesis
PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II
PWY-7221	guanosine ribonucleotides de novo biosynthesis
PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II
PWY-7224	purine deoxyribonucleosides salvage
PWY-7226	guanosine deoxyribonucleotides de novo biosynthesis I
PWY-7227	adenosine deoxyribonucleotides de novo biosynthesis
PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I
PWY-722	nicotinate degradation I
PWY-7230	ubiquinol-6 biosynthesis from 4-aminobenzoate (eukaryotic)
PWY-7232	gibberellin biosynthesis V
PWY-7233	ubiquinol-6 bypass biosynthesis (eukaryotic)
PWY-7234	inosine-5'-phosphate biosynthesis III
PWY-7235	superpathway of ubiquinol-6 biosynthesis (eukaryotic)
PWY-7236	mycocyclosin biosynthesis
PWY-7237	myo-, chiro- and scillo-inositol degradation
PWY-7238	sucrose biosynthesis II
PWY-723	alkylnitronates degradation
PWY-7241	myo-inositol degradation II
PWY-7242	D-fructuronate degradation
PWY-7245	superpathway NAD/NADP - NADH/NADPH interconversion (yeast)
PWY-7246	pectin degradation II
PWY-7247	&beta;-D-glucuronide and D-glucuronate degradation
PWY-7248	pectin degradation III
PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II
PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis
PWY-7251	pentacyclic triterpene biosynthesis
PWY-7252	luteolinidin 5-O-glucoside biosynthesis
PWY-7253	apigeninidin 5-O-glucoside biosynthesis
PWY-7254	TCA cycle VII (acetate-producers)
PWY-7255	ergothioneine biosynthesis I (bacteria)
PWY-7256	cyanidin diglucoside biosynthesis (acyl-glucose dependent)
PWY-7259	pelargonidin diglucoside biosynthesis (acyl-glucose dependent)
PWY-7260	delphinidin diglucoside biosynthesis (acyl-glucose dependent)
PWY-7261	anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)
PWY-7262	rose anthocyanin biosynthesis II (via cyanidin 3-O-&beta;-D-glucoside)
PWY-7265	lampranthin biosynthesis
PWY-7267	anthocyanin biosynthesis (pelargonidin 3-O-glucoside)
PWY-7268	NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)
PWY-7269	NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)
PWY-7270	L-methionine salvage cycle II (plants)
PWY-7274	D-cycloserine biosynthesis
PWY-7275	L-homophenylalanine biosynthesis
PWY-7277	sphingolipid biosynthesis (mammals)
PWY-7279	aerobic respiration II (cytochrome c) (yeast)
PWY-7280	ternatin C3 biosynthesis
PWY-7282	4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)
PWY-7283	wybutosine biosynthesis
PWY-7285	methylwyosine biosynthesis
PWY-7286	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis
PWY-7287	novobiocin biosynthesis
PWY-7288	fatty acid &beta;-oxidation (peroxisome, yeast)
PWY-7289	L-cysteine biosynthesis V
PWY-7290	Escherichia coli serotype O86 O-antigen biosynthesis
